id,is_anonymous,comment,amount,created,expire,verified,formatted,formatted_without_comment,campaign.id,campaign.title,campaign.campaigner,user.id,user.name,user.string,status.id,status.name,status.description.id,status.description.en,invoice.base_donation,invoice.unique_code,invoice.transaction_fee,invoice.total_invoiced,payment_method.type,payment_method.name,time_scrapped,short_url
147367458,True,,5000,1712927357,1712927957,1712927377,Anonim Rp5.000,Donasi Rp5.000,539154,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0,Orang Baik,,4,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,5000,0,0,5000,DANA,Dana_Microsite,2024-04-12 21:31:14,aktifbersamapanti
147367303,True,"Assalamu&#39;alaikum,Bismillah..Semoga berkah utk kami&amp; mereka.Senantiasa keluarga kami diberikan kesehatan wal afiat selalu, panjang umur, anak kami sembuh total,dilindungi Allah SWT,keselamatan,diperluas rezeki kami yang berkah,kebahagiaan,kemakmuran ,kesuksesan&amp;keselam",50000,1712926938,1712977338,1712926939,"Anonim Rp50.000 (Assalamu&#39;alaikum,Bismillah..Semoga berkah utk kami&amp; mereka.Senantiasa keluarga kami diberikan kesehatan wal afiat selalu, panjang umur, anak kami sembuh total,dilindungi Allah SWT,keselamatan,diperluas rezeki kami yang berkah,kebahagiaan,kemakmuran ,kesuksesan&amp;keselam)",Donasi Rp50.000,539154,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0,Orang Baik,,4,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,50000,0,0,50000,WALLET,Dompet Kebaikan,2024-04-12 21:31:14,aktifbersamapanti
147366979,True,,5000,1712926775,1712980775,1712926775,Anonim Rp5.000,Donasi Rp5.000,539154,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0,Orang Baik,,4,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,5000,0,0,5000,WALLET,Dompet Kebaikan,2024-04-12 21:31:14,aktifbersamapanti
147366976,True,,50000,1712926760,1712927360,1712926770,Anonim Rp50.000,Donasi Rp50.000,539154,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0,Orang Baik,,4,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,50000,0,0,50000,GOPAY,GO-PAY,2024-04-12 21:31:14,aktifbersamapanti
147366829,True,,50000,1712926240,1712933400,1712926268,Anonim Rp50.000,Donasi Rp50.000,539154,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0,Orang Baik,,4,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,50000,0,0,50000,VIRTUALACCOUNT,FLIP VA BCA,2024-04-12 21:31:14,aktifbersamapanti
147366748,True,semoga masih bermanfaat ya. doakan saya dan keluarga saya selalu sehat dan dilimpahkan rejeki lebih agar bisa selalu berbagi. maaf saya hanya bisa membantu sedikit. semoga kalian selalu dalam lindungan Allah swt. aamiin,50000,1712925947,1712926548,1712926038,Anonim Rp50.000 (semoga masih bermanfaat ya. doakan saya dan keluarga saya selalu sehat dan dilimpahkan rejeki lebih agar bisa selalu berbagi. maaf saya hanya bisa membantu sedikit. semoga kalian selalu dalam lindungan Allah swt. aamiin),Donasi Rp50.000,539154,"Sepi Donatur, Makan Yatim dhuafa terancam ",Aktivator Kebaikan,0,Orang Baik,,4,VERIFIED,Donasi sudah diverifikasi oleh admin,Donasi sudah diverifikasi oleh admin,50000,0,0,50000,QRIS_GOPAY,QRIS,2024-04-12 21:31:14,aktifbersamapanti
